tweet;label
 kontol udh sok jagoan ngedoxx salah org masih ada pembelaan lgi anjingwe have a warehouse of evidence why his ass should be canceled he should not get another gig;2
 anjing pintar;0
tidak semua anjing berbentuk hewankumaha barudak;2
   pls adain vote beruang vs anjing ;2
  otak klo cment dipakai  asal mangap aja ga pakai aturankritik boleh jg ngebulypemain mida smapai r16 dr qual masih dibacotinanjing lo;2
anjing gue takut banget elim kali ini;2
 israel anjing;2
sakit pinggang anjing;2
 maap tp anjing laut kan itu ;1
twitter sekarang ada logo anjing nyaa wkwkkw;1
 iya betul bakmi nya pake filter anjing;1
 kok cakep amat anjing cewe renjun ini;0
 gw udah lupa anjing;1
    sakit hati anjing;2
gue baru aja hari ini bersyukur ga limit dm tau taunya langsu bgt limit anjing;2
dibeli 2 dong anjing ;2
blunder mulu anjing;2
 ainggg kwkw ngomong anjing ke circle yg kalo kumpul pake gamis auto shock semua euy mukanya;1
 tp cocok sih mengingat banyak warga yg kelakuannya makin kesini makin kyk anjing;2
i wont stop talking about this soalnya gw nyesel banget anjing sumpah;2
 anjing lu;2
 gakuat anjing range kaja gak sampe semeter kayaknya udah di flicker masih gak sampe ;1
 sanglat anjing ;2
 oh anjing wkwkw paham maap;1
nemu orang di space mirip dustin capek ketawa anjing;2
 yang satu rill anjing;2
  anjing kamu xena ;2
anjing isi reels ambatukam semua;2
waktu shin nyiram minuman ke takumi anjing puasss favo banget;1
 udah ah anjing reia;1
ancrittttt ini rambut sudah seperti jamet boncenh tiga kaos pelangi anjing aku pengen itemin lagi tapi nanti susah lagi kalo mau cat lagi;1
 bener sihhh makin banyak drama giliran yang baik nya lu cut anjing  ;2
 tapi itu anjing samoyed tau kak keliatan ;2
anjing;2
netizen yng pikirannya bgni pantes dikatain anjing gak semua solusi apapun itu nikah cok;2
kamis minggu 2 kayanya emang anjing deh;2
 jujur bngt lagi anjing;1
 lu segala bawa trauma anjing;2
aduh nangisin meme ini anjing emg wkakakwkwjehejekakwkwkwkwkwhwk ;2
ih gua tambah najis anjing liat mereka;2
anjing;2
          iyalah anjing;2
anjing;2
 anjing mau;2
 oohh anjing yaja;2
demi allah pak lu serem banget  pedo anjing sgala tau tu cwe sharusnya kelas 2 lah jodoh gak akan kemana lah anjggg;2
ngakak banget anjing waktu kishimoto bilang aku tidak mengerti kenapa dia populer padahal dia tidak melakukan apapun trus adegan di anime yang kakashi bilang hinata kau populer berkat line mu nanaruto kun bisakah kau mengatakan nya lagi;1
sumpah gue kesel banget nonton nyamnet gak jelas anjing;2
 iyaaa jadi anjing;1
 meskipun gw gk jls tp pls diemin aj itu org iri gk bs punya cewe kek elu  tai lh knp sih cowok kek anjing;2
 anjing wkwkwkwm;1
emg anjing ni org2 kekgini keinget kk ku bahkan abis nguburin papa lgsng diginiin;2
 sini lu maju netijen anjing misi dipin timnis indinisi gimini kili u20 dibinnid fifi pikirin noh masa depan lu yang surem;2
 b aja anjing gw mah udah nyaman jomblo;1
udah dibantuin trs ngomel lo kerja sendiri aja anjing gausah minta bantuan orang;2
anjing parah bgt dah pia nih;2
ih anjing gua sih males;2
  idih anjing udah gila ni orang;2
    ih anjing geli ih nash ih dijilat;2
sumpah dah anjing bikin marahmarah doang ngabers sangean begitu;2
gatau diri anjing;2
maybe i should stop overthinking gapapa sih gw dihide dari story itu hak orang dan lagian w jg sering ngehide tp gw selama ini baik ke org ini mayat hewan percobaan aja gw yg buangin jadi kan gw bingung salah apa anjing;1
semoga lu kena batunya ya anjing ditunggu ;2
 uhm anjing jah;2
buat bocil kalo main petasan jangan di jalanan anjing gua bawa motor kagetnya real pengen jemping ngntt ;2
 editor mnetmending diganti gua aja deh editornya amatir bgt anjing;2
bangsat cakep banget sih anjing gw gila ;0
memekkk kontoll anjing stop uts dan tugas ini ngentot;2
 naudzubillah pedofil mana pd banget lagi anjing;2
 anjing hahahahaha;1
 apasi anjing;1
 anjing;2
bocah ngalen anjing;2
 ehh baru nyadar lagiiii klo gambarnya anjing bukan burng biru;2
anjing gasuka aing ngerasain emosi yang ketahan gini bangsat;2
ndak ade manusie yang tahan minum obat tiap hari tanpa putus anjing lah apa aku minum aja semuanya biar kelar ni hidup;2
anjing nangis banget;1
gua juga tau kali itu punya lu gaada niat mau dan pengen juga anjing cowok lu yang ngechat gua kontol tar gua ga respon dibilang gua sombong;2
 wgwgwgwgwgwgw beneran anjing kirain boong;1
wah anjing lu ar mohon dibaca dengan tone bagus karena ini sukses hati gue patah lagi;1
 anjing;1
keinget dia puk2 cewe itukesel tapi bukan siapa2 dan inget banget tadi ngelihat dari sudut mata dia lagi toel diaaaaa anjing lu pada;2
 aplikasi anjing;2
bacot bgt anjing;2
tatapan sinis anjing ku ini cukup menunjukkan betapa bacot nya anda dan kesekian kalinya anda termakan omongan anda sendiri kesekian kalinya pula anda menunjukkan bahwa anda tidak layak dipercayaselamat dan sukses terus buat anda ;2
anjing;1
wkwk anjing gua mulu yg salah;1
 semangat jalani hari anjing ini;1
masalahnya 450 jam dari 720 jam dalam sebulan lu habisin di tempat ketja sisanya cuma buat tidur buat ngurus diri sendiri aja ga ada ya anjing;1
mana ngasih uang harian cuma 5k apaan tuh seblak dimana2 juga udah 10k keatas anjir buat beli bakso dapet seuprit doang makan keselek karena ga ada minum heran sama karyawan lama kok bisa dan betah kerja 15 jam sehari ga ada hari libur dapet gaji cuma sejuta anjing;2
 etlis nulis nama gw yg bener lah anjing;2
archon questnya bikin puyebg anjing;2
lu semua anjing yang send ht thx shwan;2
 anjing apa nih brengsek;2
woi si anjing;2
anjing lu;2
anjing main buang sembarangan gak minta ijin dulu gak ngomong dulu bangsat;2
dahlah emng anjing si mnet asu;2
   eh tapi aku juga liatnya beruang asli sorry baru tau juga kalau itu anjing;2
kalau belajar sampah perangai elok takpe lagi babi ni dah la bodo perangai cam sial lak ala anak anjing;2
